Id;PostId;UserId;BountyAmount;VoteTypeId;CreationDate
529;136;NULL;NULL;2;2008-08-02 00:00:00.000
530;140;NULL;NULL;2;2008-08-02 00:00:00.000
531;126;NULL;NULL;3;2008-08-02 00:00:00.000
532;139;NULL;NULL;3;2008-08-02 00:00:00.000
533;169;NULL;NULL;2;2008-08-02 00:00:00.000
538;287;NULL;NULL;2;2008-08-02 00:00:00.000
546;56;NULL;NULL;3;2008-08-02 00:00:00.000
547;286;NULL;NULL;2;2008-08-02 00:00:00.000
548;249;NULL;NULL;2;2008-08-02 00:00:00.000
549;273;NULL;NULL;2;2008-08-02 00:00:00.000
550;250;NULL;NULL;2;2008-08-02 00:00:00.000
551;26;NULL;NULL;2;2008-08-02 00:00:00.000
554;17;NULL;NULL;2;2008-08-02 00:00:00.000
555;54;NULL;NULL;2;2008-08-02 00:00:00.000
556;56;NULL;NULL;3;2008-08-02 00:00:00.000
557;58;NULL;NULL;2;2008-08-02 00:00:00.000
558;209;NULL;NULL;2;2008-08-02 00:00:00.000
560;296;NULL;NULL;3;2008-08-02 00:00:00.000
572;296;NULL;NULL;3;2008-08-02 00:00:00.000
573;247;NULL;NULL;2;2008-08-02 00:00:00.000
574;140;NULL;NULL;2;2008-08-02 00:00:00.000
576;298;NULL;NULL;2;2008-08-02 00:00:00.000
577;298;NULL;NULL;2;2008-08-02 00:00:00.000
578;296;NULL;NULL;3;2008-08-02 00:00:00.000
579;33;NULL;NULL;2;2008-08-02 00:00:00.000
582;15;NULL;NULL;3;2008-08-02 00:00:00.000
583;14;NULL;NULL;2;2008-08-02 00:00:00.000
584;152;NULL;NULL;2;2008-08-02 00:00:00.000
585;278;NULL;NULL;2;2008-08-02 00:00:00.000
586;296;NULL;NULL;2;2008-08-02 00:00:00.000
587;296;NULL;NULL;2;2008-08-02 00:00:00.000
588;54;NULL;NULL;3;2008-08-02 00:00:00.000
589;303;NULL;NULL;3;2008-08-02 00:00:00.000
590;58;NULL;NULL;2;2008-08-02 00:00:00.000
591;286;NULL;NULL;2;2008-08-02 00:00:00.000
592;286;NULL;NULL;2;2008-08-02 00:00:00.000
593;296;NULL;NULL;2;2008-08-02 00:00:00.000
594;305;NULL;NULL;2;2008-08-02 00:00:00.000
595;307;NULL;NULL;2;2008-08-02 00:00:00.000
599;173;NULL;NULL;2;2008-08-02 00:00:00.000
600;187;NULL;NULL;2;2008-08-02 00:00:00.000
601;181;NULL;NULL;2;2008-08-02 00:00:00.000
602;317;NULL;NULL;2;2008-08-02 00:00:00.000
606;210;NULL;NULL;2;2008-08-02 00:00:00.000
607;192;NULL;NULL;2;2008-08-02 00:00:00.000
614;321;NULL;NULL;2;2008-08-02 00:00:00.000
617;328;NULL;NULL;2;2008-08-02 00:00:00.000
618;331;NULL;NULL;2;2008-08-02 00:00:00.000
619;326;NULL;NULL;1;2008-08-02 00:00:00.000
623;332;NULL;NULL;2;2008-08-02 00:00:00.000
624;332;NULL;NULL;2;2008-08-02 00:00:00.000
625;317;NULL;NULL;2;2008-08-02 00:00:00.000
626;226;NULL;NULL;2;2008-08-02 00:00:00.000
627;13;NULL;NULL;2;2008-08-02 00:00:00.000
628;112;NULL;NULL;2;2008-08-02 00:00:00.000
629;159;NULL;NULL;2;2008-08-02 00:00:00.000
630;161;NULL;NULL;2;2008-08-02 00:00:00.000
631;110;NULL;NULL;2;2008-08-02 00:00:00.000
632;336;NULL;NULL;2;2008-08-02 00:00:00.000
633;338;NULL;NULL;2;2008-08-02 00:00:00.000
634;27;NULL;NULL;2;2008-08-02 00:00:00.000
635;339;NULL;NULL;2;2008-08-02 00:00:00.000
636;339;NULL;NULL;2;2008-08-02 00:00:00.000
637;286;NULL;NULL;2;2008-08-02 00:00:00.000
638;336;NULL;NULL;2;2008-08-02 00:00:00.000
640;339;NULL;NULL;2;2008-08-02 00:00:00.000
642;342;NULL;NULL;2;2008-08-02 00:00:00.000
645;242;NULL;NULL;3;2008-08-02 00:00:00.000
647;175;NULL;NULL;2;2008-08-02 00:00:00.000
661;332;NULL;NULL;2;2008-08-02 00:00:00.000
662;326;NULL;NULL;2;2008-08-02 00:00:00.000
663;343;NULL;NULL;2;2008-08-02 00:00:00.000
665;296;NULL;NULL;2;2008-08-02 00:00:00.000
666;337;NULL;NULL;2;2008-08-02 00:00:00.000
667;339;NULL;NULL;2;2008-08-02 00:00:00.000
668;136;NULL;NULL;2;2008-08-02 00:00:00.000
669;286;NULL;NULL;2;2008-08-02 00:00:00.000
671;311;NULL;NULL;2;2008-08-02 00:00:00.000
672;286;NULL;NULL;2;2008-08-02 00:00:00.000
673;343;NULL;NULL;2;2008-08-02 00:00:00.000
674;277;NULL;NULL;2;2008-08-02 00:00:00.000
675;19;NULL;NULL;2;2008-08-02 00:00:00.000
676;169;NULL;NULL;2;2008-08-02 00:00:00.000
677;282;NULL;NULL;3;2008-08-02 00:00:00.000
678;266;NULL;NULL;2;2008-08-02 00:00:00.000
679;58;NULL;NULL;2;2008-08-02 00:00:00.000
680;216;NULL;NULL;2;2008-08-02 00:00:00.000
681;311;NULL;NULL;2;2008-08-02 00:00:00.000
685;19;NULL;NULL;2;2008-08-02 00:00:00.000
686;332;NULL;NULL;2;2008-08-02 00:00:00.000
687;253;NULL;NULL;2;2008-08-02 00:00:00.000
688;33;NULL;NULL;2;2008-08-02 00:00:00.000
689;15;NULL;NULL;3;2008-08-02 00:00:00.000
690;216;NULL;NULL;2;2008-08-02 00:00:00.000
691;211;NULL;NULL;2;2008-08-02 00:00:00.000
692;215;NULL;NULL;2;2008-08-02 00:00:00.000
693;208;NULL;NULL;2;2008-08-02 00:00:00.000
694;286;NULL;NULL;3;2008-08-02 00:00:00.000
695;10;NULL;NULL;2;2008-08-02 00:00:00.000
696;351;NULL;NULL;3;2008-08-02 00:00:00.000
697;296;NULL;NULL;2;2008-08-02 00:00:00.000
699;77;NULL;NULL;2;2008-08-02 00:00:00.000
700;98;NULL;NULL;2;2008-08-02 00:00:00.000
701;88;NULL;NULL;2;2008-08-02 00:00:00.000
702;351;NULL;NULL;3;2008-08-02 00:00:00.000
703;56;NULL;NULL;2;2008-08-02 00:00:00.000
704;309;NULL;NULL;2;2008-08-02 00:00:00.000
722;13;NULL;NULL;2;2008-08-02 00:00:00.000
729;255;NULL;NULL;3;2008-08-02 00:00:00.000
733;13;NULL;NULL;2;2008-08-02 00:00:00.000
734;104;NULL;NULL;2;2008-08-02 00:00:00.000
735;159;NULL;NULL;2;2008-08-02 00:00:00.000
736;161;NULL;NULL;2;2008-08-02 00:00:00.000
737;299;NULL;NULL;3;2008-08-02 00:00:00.000
738;309;NULL;NULL;2;2008-08-02 00:00:00.000
739;343;NULL;NULL;2;2008-08-02 00:00:00.000
740;317;NULL;NULL;2;2008-08-02 00:00:00.000
741;273;NULL;NULL;2;2008-08-02 00:00:00.000
742;249;NULL;NULL;2;2008-08-02 00:00:00.000
743;297;NULL;NULL;2;2008-08-02 00:00:00.000
744;152;NULL;NULL;2;2008-08-02 00:00:00.000
745;146;NULL;NULL;2;2008-08-02 00:00:00.000
746;328;NULL;NULL;2;2008-08-02 00:00:00.000
747;250;NULL;NULL;2;2008-08-02 00:00:00.000
749;352;NULL;NULL;2;2008-08-02 00:00:00.000
750;360;NULL;NULL;2;2008-08-02 00:00:00.000
751;86;NULL;NULL;2;2008-08-02 00:00:00.000
752;216;NULL;NULL;2;2008-08-02 00:00:00.000
753;255;NULL;NULL;3;2008-08-02 00:00:00.000
754;241;NULL;NULL;2;2008-08-02 00:00:00.000
755;275;NULL;NULL;2;2008-08-02 00:00:00.000
756;357;NULL;NULL;2;2008-08-02 00:00:00.000
757;103;NULL;NULL;2;2008-08-02 00:00:00.000
758;307;NULL;NULL;2;2008-08-02 00:00:00.000
759;269;NULL;NULL;2;2008-08-02 00:00:00.000
760;344;NULL;NULL;2;2008-08-02 00:00:00.000
761;359;NULL;NULL;2;2008-08-02 00:00:00.000
762;364;NULL;NULL;2;2008-08-02 00:00:00.000
763;362;NULL;NULL;2;2008-08-02 00:00:00.000
764;158;NULL;NULL;2;2008-08-02 00:00:00.000
766;222;NULL;NULL;2;2008-08-02 00:00:00.000
767;163;NULL;NULL;2;2008-08-02 00:00:00.000
771;371;NULL;NULL;2;2008-08-02 00:00:00.000
773;364;NULL;NULL;2;2008-08-02 00:00:00.000
774;362;NULL;NULL;2;2008-08-02 00:00:00.000
780;212;NULL;NULL;2;2008-08-02 00:00:00.000
781;325;NULL;NULL;2;2008-08-02 00:00:00.000
782;385;NULL;NULL;2;2008-08-02 00:00:00.000
